textid	text	condition	target
0	fearless there's somethin' 'bout the way the street looks when it's just rained there's a glow off the pavement walk me to the car and you know i wanna ask you to dance right there in the middle of the parking lot yeah  hey soul sister hey hey hey  fearless we're drivin' down the road i wonder if you know i'm tryin' so hard not to get caught up now but you're just so cool run your hands through your hair absentmindedly makin' me want you  fearless and i don't know how it gets better than this you take my hand and drag me headfirst fearless and i don't know why when with you i'd dance in a storm in my best dress fearless  hey soul sister hey hey hey  fearless so baby drive slow 'til we run out of road in this one horse town i wanna stay right here in this passenger seat you put your eyes on me in this moment now capture it remember it  fearless 'cause i don't know how it gets better than this you take my hand and drag me headfirst fearless and i don't know why but with you i'd dance in a storm in my best dress fearless  i'm yours but i won't hesitate no more no more it cannot wait i'm yours  hey soul sister hey hey hey  fearless 'cause i don't know how it gets better than this you take my hand and drag me headfirst fearless and i don't know why but with you i'd dance in a storm in my best dress fearless	1	0
1	step one you say we need to talk he walks you say sit down it's just a talk he smiles politely back at you you stare politely right on through some sort of window to your right as he goes left and you stay right between the lines of fear and blame you begin to wonder why you came   where did i go wrong i lost a friend somewhere along in the bitterness and i would have stayed up with you all night had i known how to save a life   let him know that you know best 'cause after all you do know best try to slip past his defense without granting innocence lay down a list of what is wrong the things you've told him all along pray to god he hears you and i pray to god he hears you   and where did i go wrong i lost a friend somewhere along in the bitterness and i would have stayed up with you all night had i known how to save a life   as he begins to raise his voice you lower yours and grant him one last choice drive until you lose the road or break with the ones you've followed he will do one of two things he will admit to everything or he'll say he's just not the same and you'll begin to wonder why you came   where did i go wrong i lost a friend somewhere along in the bitterness and i would have stayed up with you all night had i known how to save a life   where did i go wrong i lost a friend somewhere along in the bitterness and i would have stayed up with you all night had i known how to save a life   where did i go wrong i lost a friend somewhere along in the bitterness and i would have stayed up with you all night had i known how to save a life	1	0
2	are you trying to make me fall 'cause with a face like that baby it won't take too long keep on melting me with those eyes and i think in a while i'll be hypnotized sitting here singing   ooh ooh ooh i love you i love you ooh ooh ooh come a little closer oh oh i love you i love you and i'm down to my last breath trying to get my heels back under my head   baby somewhere around the time the moment i saw you with your hair all sticking up i was all caught up 'cause baby you were so damn cute i need you to need me see the train is coming for me help me save me from this crash at last   ooh ooh ooh i love you i love you ooh ooh ooh come a little closer oh oh i love you i love you and i'm down to my last breath trying to get my heels back under my head   na na na na na na na na na na na you seem to be just what i've tried to find and your name looks so good written next to mine next to mine next to mine ooh ooh ooh i love you i love you ooh ooh i really really want you oh oh i love you i love you oh oh	1	0
3	on a crowded highway through a night alone i was barely breathing i was crawling home well it's quite not london or the south of france or an asian island or a second chance    going back to nashville thinking 'bout the whole thing guess you gotta run sometimes maybe i'm a fast train blowin' through a valley watching all my life go by   you're a distant memory you're an exit sign i was talking crazy on the drivers side and i know i hurt you but i can't confess was that blood or a wine stain on your wedding dress    going back to nashville thinking 'bout the whole thing guess you gotta run sometimes maybe i'm a fast train blowin' through a valley watching all my life go by    going back to nashville laughing at a bad break what's the use of wondering why maybe i'm a storm front blowing through a valley tearing up a good july   and it's safe and warm where nothing ever happens could it be so hard to realign a star or two change a southern night for you   going back to nashville thinking 'bout the whole thing guess you gotta run sometimes maybe i'm a fast train blowin' through a valley watching all my life go by    going back to nashville laughing at a bad break what's the use of wondering why maybe i'm a storm front blowing through a valley tearing up a good july   going back to nashville i'm going back to nashville going back to naaaaahh going back to nashville what's the use of wondering why	1	0
4	it wasn't just like a movie the rain didn't soak through my clothes down to my skin i'm driving away and i i guess you could say this is the last time i'll drive this way again when there's nothing to say and i try to grab at the fray cause i i still love you but i can't   bye bye to everything i thought was on my side bye bye baby i want you back but it's coming down to nothing and all you have is to walk away from the one thing i thought would never leave me yeah   the picture frame is empty it's black and white you're smiling down at me i take your photo off the dash and back to the conversation i was so sure of everything we thought we'd always have i'm lost in the sound of it but here in the now comes in seems like i'm becoming part of your past   bye bye to everything i thought was on my side bye bye baby i want you back but it's coming down to nothing and all you have is to walk away from the one thing i thought would never leave me   and there's so much that i can't touch you're all i want but it's not enough this time and i can feel you like your slipping through my hands and i'm so scared of how this ends   bye bye to everything i thought was on my side bye bye baby i want you back but it's coming down to nothing and all you have is to walk away from the one thing i thought would never leave me   bye bye to everything i thought was on my side bye bye baby i want you back but it's coming down to nothing and all you have is to walk away from the one thing i thought would never leave me yeah yeah there was one thing i knew would never leave me   it wasn't just like a movie the rain didn't soak through my clothes down to my skin	1	0
5	come on gather 'round i'm gonna tell you how the fire went out sorry for the inconvenience i didn't mean to let you down we were supposed to be forever but it's too bad you didn't see that to me you were the perfect view of misery   i never talked about the tears i cried all the sleepless nights or the endless fights i never talked about the days he called there was something wrong it was all my fault i had it all what a shame what a fall now but in case you haven't heard the news there wasn't much love to lose   let's talk about that golden boy that i met on a winter night how was i supposed to know that he was just as cold inside he smiled and i smiled well the camera's in your mind and i lied i swore that everything was fine   i never talked about the tears i cried all the sleepless nights or the endless fights i never talked about the nights he called there was something wrong it was all my fault i had it all what a shame what a fall now but in case you haven't heard the news there wasn't much love to lose   i know you wanna talk about me how i gave up on love so foolishly but keep in mind   i never talked about the tears i cried all the sleepless nights or the endless fights i never talked about the nights he called there was something wrong it was all my fault i had it all what a shame what a fall now but in case you haven't heard the news there wasn't much love to lose   come on gather 'round i'm gonna tell you how the fire went out	1	0
6	i like my music loud i like my windows down so i can scream i like my trucks a little bigger than the rest so i can see dont try me dont fight me you be you and ill be me   they say ive always known what i wanted my friends and enemies will tell you its true you will find out i always get it i know what i want and it aint you   your mom and daddys walls are covered up in pictures of you you never met a mirror that you didn't look again into so sorry dont worry im sure there are so many girls who love you like you do   they say ive always known what i wanted my friends and enemies will tell you its true you will find out i always get it i know what i want and it aint you   oh baby dont persuade me i know that you aint used to no so let me say it real slow   they say ive always known what i wanted my friends and enemies will tell you its true you will find out i always get it i know what i want and it aint you   they say ive always known what i wanted my friends and enemies will tell you its true you will find out i always get it i know what i want and it aint you	1	0
7	you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down we come back every time 'cause we never go out of style we never go out of style you've got that long hair slick back white tshirt and i got that good girl faith and a tight little skirt and when we go crashing down we come back every time 'cause we never go out of style we never go out of style    midnight you come and pick me up no headlights long drive could end in burning flames or paradise fade into view oh it's been a while since i have even heard from you heard from you and i should just tell you to leave 'cause i know exactly where it leads but i watch it go round and round each time    you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down we come back every time 'cause we never go out of style we never go out of style you've got that long hair slick back white tshirt and i got that good girl faith and a tight little skirt and when we go crashing down we come back every time 'cause we never go out of style we never go out of style let me hear you please make some noise for my band    we were both young when i first saw you i close my eyes and the flashback starts i'm standing there on a balcony in summer air see the lights see the party the ball gowns see you make your way through the crowd and say hello little did i know that you were romeo you were throwing pebbles and my daddy said stay away from juliet and i was crying on the staircase begging you please don't go give it up for my ist la    romeo take me somewhere we can be alone i'll be waiting all that's left to do is run you'll be the prince and i'll be the princess it's a love story baby just say yes    oh oh i got tired of waiting wondering if you were ever coming around my faith in you was fading when i met you on the outskirts of town and i said romeo save me i've been feeling so alone i keep waiting for you but you never come is this in my head i don't know what to think he knelt to the ground and pulled out a ring and said    marry me juliet you'll never have to be alone i love you and that's all i really know i talked to your dad go pick out a white dress it's a love story baby just say yes    oh i remember you drivin' to my house in the middle of the night i'm the one who makes you laugh when you know you're about to cry and i know your favorite songs and you tell me about your dreams i think i know where you belong i think i know it's with me can't you see that i'm the one who understands you been here all along so why can't you see you belong with me    standing by and waiting at your back door all this time how could you not know baby you belong with me you belong with me you belong with me have you ever thought just maybe you belong with me you belong with me	1	0
8	i'm still wearing my blue jeans no i don't know what you mean i'm still the same girl picking daisies in the field i believe in what i feel i've always been the same girl  some moments change your life this could be one of them i'm just living life and thinking hey this could be fun  i've always been the same girl living in the same world singing little songs at the break of dawn girl sitting on the front porch do do do do do watching what you say girl never blow away girl living in the crazy world i've always been the same girl  i still live in one small town but always love to move around i've always been the same girl still keep diaries that say where i was and did that day i've always been the same girl  some moments change your life this could be one of them i'm just living life and thinking hey this could be fun  i've always been the same girl living in the same world singing little songs at the break of dawn girl sitting on the front porch do do do do do watching what you say girl never blow away girl living in the crazy world i've always been the same girl  some days will change your life yeah this could be one of them i'm just living life and thinking  i've always been the same girl living in the same world singing little songs at the break of dawn girl sitting on the front porch do do do do do watching what you say girl never blow away girl living in the crazy world i've always been the same girl  living in the crazy world i've always been the same girl	1	0
9	i wanna be your end game i wanna be your first string i wanna be your ateam i wanna be your end game end game  post big reputation big reputation ooh you and me we got big reputations ah and you heard about me ooh i got some big enemies big reputation big reputation ooh you and me would be a big conversation ah and i heard about you ooh you like the bad ones too you like the bad ones too you like the bad ones  pre i don't wanna touch you i don't wanna be just another exlove you don't wanna see i don't wanna miss you like the other girls do i don't wanna hurt you i just wanna be drinking on a beach with you all over me i know what they all say yeah but i ain't tryna play   i wanna be your end game i wanna be your first string i wanna be your ateam i wanna be your end game end game  verse i hit you like bang we tried to forget it but we just couldn't and i bury hatchets but i keep maps of where i put 'em reputation precedes me they told you i'm crazy i swear i don't love the drama it loves me and i can't let you go your hand prints on my soul it's like your eyes are liquor it's like your body is gold you've been calling my bluff on all my usual tricks so here's the truth from my red lips  post big reputation big reputation ooh you and me we got big reputations ah and you heard about me ooh i got some big enemies big reputation big reputation ooh you and me would be a big conversation ah and i heard about you ooh you like the bad ones too   i wanna be your end game i wanna be your first string i wanna be your ateam i wanna be your end game end game i wanna be your end game i wanna be your first string i wanna be your ateam i wanna be your end game end game	1	0
